Identifiant de l'équipement,Equipement,Code thème,Thème,Code catégorie,Catégorie,Code type,Type,Statut,Commune,Adresse,Téléphone,Web,Code postal,latitude,longitude
5222,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Chemin de la Charrée,,,44100,47.2124001088,-1.59052139949
5225,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Rue Marcel Planiol,,,44100,47.2173625347,-1.59623788832
5240,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Rue du Limousin,,,44000,47.2237125816,-1.56600723104
5242,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,,,,,44300,47.2381835489,-1.58265675732
5245,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Boulevard des Américains,,,44300,47.2350544782,-1.57139927154
5260,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Rue de la Haluchère,,,44300,47.2462045391,-1.51617814846
5261,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Rue Gustave Eiffel,,,44300,47.2561910804,-1.51963270065
5264,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Passage des Tauzins,,,44300,47.2657400418,-1.51977561653
5272,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Rue Louis Pergaud,,,44300,47.2684558248,-1.5189384942
5277,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Rue Samuel De Champlain,,,44300,47.2604765807,-1.57346954742
5280,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,NANTES,Rue Santos Dumont,,,44300,47.2598255331,-1.5675404695
5294,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,REZE,Quai Surcouf,,,44400,47.1954350652,-1.57795150077
5296,Aire de jeux les Prairies de Sèvre,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,REZE,Rue René Cassin,,,44400,47.1922545971,-1.54350059455
5300,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,REZE,Rue des Couteaux,,,44400,47.1882781028,-1.53709231896
5302,Aire de jeux,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60114,Site de loisirs,Non renseigné,REZE,Rue Georges Berthomé,,,44400,47.1807081834,-1.55500680337
62,Gymnase Le Baut,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Ville de Nantes,NANTES,4B Rue des Renards,,,44300,47.2546887974,-1.56286476917
63,Gymnase  Barboire,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Ville de Nantes,,,,,44300,47.2522657383,-1.55512500035
65,Palais des Sports Beaulieu,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60113,Salle omnisports,Ville de Nantes,,,,,44200,47.209525098,-1.5367720763
733,Stade Launay Violette,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Etat,NANTES,Impasse Charles Chassin,,,44300,47.2490898325,-1.557341244
740,Stade Bois de la Musse Espérance St-Yves,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Privé,NANTES,9 Rue Marange Sylvange,,,44100,47.2016418632,-1.61194218812
859,Stade Etoile du Cens,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Privé,NANTES,24 Route de la Chapelle Sur Erdre,,,44300,47.2555015671,-1.57474528417
863,Stade Michel Lecointre Beaulieu,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60115,Stade,Ville de Nantes,NANTES,2 Boulevard Alexandre Millerand,,,44200,47.2096753521,-1.532819015
93,Gymnase ASPTT Appert,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60109,Gymnase,Ville de Nantes,NANTES,Rue Nicolas Appert,,,44100,47.2140537092,-1.57991933506
106,Plaine de Jeux Colinière,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60117,Terrain de grands jeux,Ville de Nantes,NANTES,121 Rue du Landreau,,,44300,47.2353670614,-1.51004339715
1079,Plaine de Jeux Géraudière Santos Dumont,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60117,Terrain de grands jeux,Ville de Nantes,NANTES,Rue Santos Dumont,,,44300,47.2604118635,-1.56825392147
1125,Hippodrome du Petit Port,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60110,Hippodrome,Ville de Nantes,NANTES,2 Boulevard des Tribunes,,,44300,47.2462030143,-1.56316762574
118,Golf Nantes Erdre,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60108,Golf,Ville de Nantes,,,,,44300,47.2692656927,-1.57977559981
1496,Terrain de tennis Bourgeonnière,6,SPORT ET LOISIRS,601,Salle et terrain de sport,60116,Tennis,Ville de Nantes,,,,,44300,47.2532293705,-1.5546390014
