Identifiant de l'équipement,Equipement,Code thème,Thème,Code catégorie,Catégorie,Code type,Type,Statut,Commune,Adresse,Téléphone,Web,Code postal,latitude,longitude
1415,Salle Pannonica,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,9 Rue Basse Porte,,,44000,47.2208026528,-1.55841719043
1421,Salle d'Expositions de l'ESBANM,1,CULTURE,106,Salle d'exposition,,,Non renseigné,NANTES,Place Dulcie September,,,44000,47.2170094182,-1.55421703855
1443,Espace Culturel Sud Loire,1,CULTURE,107,Salle de spectacle,,,Non renseigné,,,,,44200,47.1927011018,-1.5348910166
1455,Bibliothèque pour Tous Beaulieu,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,NANTES,12 Rue Anatole de Monzie,,,44200,47.203447793,-1.54172394071
159,Salle d'Expositions Manu,1,CULTURE,106,Salle d'exposition,,,Non renseigné,NANTES,11 Boulevard de Stalingrad,,,44000,47.219758611,-1.53606743941
2028,Salle Polyvalente Escall,1,CULTURE,107,Salle de spectacle,,,Public,ST-SEBASTIEN,27 Rue des Berlaguts,,,44230,47.2000377863,-1.5035216971
2122,Bibliothèque Adèle'H,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Associatif,ST-HERBLAIN,42 Rue de la Blanche,,,44800,47.2194193852,-1.60962337961
2215,Château de La Gournerie,1,CULTURE,101,Musée, Château,10101,Château,Non renseigné,ST-HERBLAIN,Allée du Château,,44800,47.2459605065,-1.6377065705
2385,Château de La Tour,1,CULTURE,101,Musée, Château,10101,Château,Non renseigné,ORVAULT,Allée de la Tour,,44700,47.2880752594,-1.62592949174
2390,Lavoir Orvault,1,CULTURE,104,Monument,,,Non renseigné,ORVAULT,Chemin du Lavoir,,,44700,47.2721604583,-1.62208652623
2393,La Maison Radieuse Le Corbusier,1,CULTURE,104,Monument,,,Non renseigné,REZE,Boulevard Le Corbusier,,,44400,47.1888248584,-1.56830803226
2550,Salle culturelle Le Vallon,1,CULTURE,107,Salle de spectacle,,,Non renseigné,MAUVES-SUR-LOIRE,1 Avenue de Bretagne,,,44470,47.2993893945,-1.39626673612
2637,Tour de l'Ancienne Usine Lu,1,CULTURE,104,Monument,,,Non renseigné,NANTES,Quai Malakoff,,,44000,47.2154470153,-1.54619554056
2707,Médiathèque René Guy Cadou,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Public,BASSE-GOULAINE,Place de la Chantrie,,,44115,47.2162824758,-1.46586533065
2724,Médiathèque Victor Jara,1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,COUERON,95 Quai Jean-Pierre Fougerat,,,44220,47.2088643672,-1.7202546195
2728,"Médiathèque ""Le jardin de Lecture""",1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,SAINT-AIGNAN-GRANDLIEU,39 Rue des Frères Rousseau,,,44860,47.1237718059,-1.63049336122
2740,Médiathèque municipale de Bouaye,1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,BOUAYE,Place du Marché,,,44830,47.1417578186,-1.68829060498
2746,Médiathèque Jardin des Livres,1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,,,,,44710,47.1359640548,-1.73027203675
3122,Barakason,1,CULTURE,107,Salle de spectacle,,,Non renseigné,REZE,Allée du Dauphiné,,,44400,47.1861759062,-1.55760575987
3160,Espace Culturel Capellia,1,CULTURE,107,Salle de spectacle,,,Non renseigné,LA-CHAPELLE-SUR-ERDRE,Chemin de Roche Blanche,,,44240,47.2792596003,-1.55796431919
3303,Centre Baptiste Marcet,1,CULTURE,107,Salle de spectacle,,,Public,BOUGUENAIS,Rue Célestin Freinet,,,44340,47.1813316606,-1.58839574479
3349,Ecole de Musique muncipale,1,CULTURE,105,Ecole Culturelle,,,Public,CARQUEFOU,Allée des Renaudières,,,44470,47.3004779077,-1.51340669414
3505,Pigeonnier du Château de Thouaré,1,CULTURE,104,Monument,,,Privé,THOUARE-SUR-LOIRE,Rue de la Saulzaie,,,44470,47.2611456019,-1.44398408494
